SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;DEAL active from;Facharzt-zeitschrift;APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
3;Journal f�r Verbraucherschutz und Lebensmittelsicherheit;Springer;Life Sciences;https://link.springer.com/journal/3;1661-5751;1661-5867;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
4;Nexus Network Journal;Birkh�user;Mathematics;https://link.springer.com/journal/4;1590-5896;1522-4600;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
5;Archivum Immunologiae et Therapiae Experimentalis;Springer;Biomedicine;https://link.springer.com/journal/5;;1661-4917;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
6;Advances in Applied Clifford Algebras;Birkh�user;Physics;https://link.springer.com/journal/6;0188-7009;1661-4909;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
9;Mediterranean Journal of Mathematics;Birkh�user;Mathematics;https://link.springer.com/journal/9;1660-5446;1660-5454;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
10;Aequationes Mathematicae;Birkh�user;Mathematics;https://link.springer.com/journal/10;0001-9054;1420-8903;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
11;Inflammation Research;Springer;Biomedicine;https://link.springer.com/journal/11;1023-3830;1420-908X;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
12;Algebra Universalis;Birkh�user;Mathematics;https://link.springer.com/journal/12;0002-5240;1420-8911;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
13;Archiv der Mathematik;Birkh�user;Mathematics;https://link.springer.com/journal/13;0003-889X;1420-8938;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
15;Swiss Journal of Geosciences;Springer;Earth Sciences;https://link.springer.com/journal/15;;1661-8734;Fully Open Access;August 2020;n/a;1250;20;CC BY;n/a;Change of Publishing Model;2020;Changes from Hybrid (Open Choice) to Fully Open Access;;
16;Physics in Perspective;Birkh�user;Physics;https://link.springer.com/journal/16;1422-6944;1422-6960;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
18;Cellular and Molecular Life Sciences;Springer;Life Sciences;https://link.springer.com/journal/18;1420-682X;1420-9071;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
20;Integral Equations and Operator Theory;Birkh�user;Mathematics;https://link.springer.com/journal/20;0378-620X;1420-8989;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;;;
21;Journal of Mathematical Fluid Mechanics;Birkh�user;Physics;https://link.springer.com/journal/21;1422-6928;1422-6952;Open Choice;January 2020;n/a;;n/a;CC BY;yes;;;Standard Hybrid Specific Workflow updated;;2019-11-29
