SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;DEAL active from;Facharzt-zeitschriften;APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
3;Journal of Consumer Protection and Food Safety;Springer;Life Sciences;https://springer.com/3;1661-5751;1661-5867;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
4;Nexus Network Journal;Birkh�user;Mathematics;https://springer.com/4;1590-5896;1522-4600;Open Choice;January 2020;;;;CC BY;standard;;;;;
5;Archivum Immunologiae et Therapiae Experimentalis;Springer;Biomedicine;https://springer.com/5;;1661-4917;Open Choice;January 2020;;;;CC BY;standard;;;;;
6;Advances in Applied Clifford Algebras;Birkh�user;Physics;https://springer.com/6;0188-7009;1661-4909;Open Choice;January 2020;;;;CC BY;standard;;;;;
9;Mediterranean Journal of Mathematics;Birkh�user;Mathematics;https://springer.com/9;1660-5446;1660-5454;Open Choice;January 2020;;;;CC BY;standard;;;;;
10;Aequationes Mathematicae;Birkh�user;Mathematics;https://springer.com/10;0001-9054;1420-8903;Open Choice;January 2020;;;;CC BY;standard;;;;;
11;Inflammation Research;Springer;Biomedicine;https://springer.com/11;1023-3830;1420-908X;Open Choice;January 2020;;;;CC BY;standard;;;;;
12;Algebra Universalis;Birkh�user;Mathematics;https://springer.com/12;0002-5240;1420-8911;Open Choice;January 2020;;;;CC BY;standard;;;;;
13;Archiv der Mathematik;Birkh�user;Mathematics;https://springer.com/13;0003-889X;1420-8938;Open Choice;January 2020;;;;CC BY;standard;;;;;
15;Swiss Journal of Geosciences;Springer;Earth Sciences;https://springer.com/15;;1661-8734;Fully Open Access;August 2020;;1250,00;20;CC BY;;Change of Publishing Model;2020;Changes from Hybrid (Open Choice) to Fully Open Access;;
16;Physics in Perspective;Birkh�user;Physics;https://springer.com/16;1422-6944;1422-6960;Open Choice;January 2020;;;;CC BY;standard;;;;;
18;Cellular and Molecular Life Sciences;Springer;Life Sciences;https://springer.com/18;1420-682X;1420-9071;Open Choice;January 2020;;;;CC BY;standard;;;;;
20;Integral Equations and Operator Theory;Birkh�user;Mathematics;https://springer.com/20;0378-620X;1420-8989;Open Choice;January 2020;;;;CC BY;standard;;;;;
21;Journal of Mathematical Fluid Mechanics;Birkh�user;Physics;https://springer.com/21;1422-6928;1422-6952;Open Choice;January 2020;;;;CC BY;standard;;;Standard Hybrid Specific Workflow updated;;2019-11-29
22;Journal of Geometry;Birkh�user;Mathematics;https://springer.com/22;0047-2468;1420-8997;Open Choice;January 2020;;;;CC BY;standard;;;;;
23;Annales Henri Poincar�;Birkh�user;Physics;https://springer.com/23;1424-0637;1424-0661;Open Choice;January 2020;;;;CC BY;standard;;;;;
24;Pure and Applied Geophysics;Birkh�user;Earth Sciences;https://springer.com/24;0033-4553;1420-9136;Open Choice;January 2020;;;;CC BY;standard;;;;;
25;Results in Mathematics;Birkh�user;Mathematics;https://springer.com/25;1422-6383;1420-9012;Open Choice;January 2020;;;;CC BY;standard;;;;;
26;Annals of Combinatorics;Birkh�user;Mathematics;https://springer.com/26;0218-0006;0219-3094;Open Choice;January 2020;;;;CC BY;standard;;;;;
27;Aquatic Sciences;Springer;Life Sciences;https://springer.com/27;1015-1621;1420-9055;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
28;Journal of Evolution Equations;Birkh�user;Mathematics;https://springer.com/28;1424-3199;1424-3202;Open Choice;January 2020;;;;CC BY;standard;;;;;
29;Selecta Mathematica;Birkh�user;Mathematics;https://springer.com/29;1022-1824;1420-9020;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
30;Nonlinear Differential Equations and Applications NoDEA;Birkh�user;Mathematics;https://springer.com/30;1021-9722;1420-9004;Open Choice;January 2020;;;;CC BY;standard;;;Journal Title updated;;2020-03-31
31;Transformation Groups;Birkh�user;Mathematics;https://springer.com/31;1083-4362;1531-586X;Open Choice;January 2020;;;;CC BY;standard;;;;;
