SN Journals ID;Journal Title;Imprint;Main Discipline;Journal Homepage URL;pISSN;eISSN;Publishing Model;Facharzt-zeitschriften;Current DEAL Cost Contribution (2023);APC;BMC discount;OA License Type;Standard Hybrid Specific Workflow;Changes Within Term;Change Valid from (Year);Comments;Record Added;Record Updated
3;Journal of Consumer Protection and Food Safety;Springer;Life Sciences;https://springer.com/3;1661-5751;1661-5867;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Journal Title updated;;2022-01-03
4;Nexus Network Journal;Birkh�user;Mathematics;https://springer.com/4;1590-5896;1522-4600;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;Hybrid Specific Workflow Details updated to standard (Oasis);;2022-01-03
5;Archivum Immunologiae et Therapiae Experimentalis;Springer;Biomedicine;https://springer.com/5;0004-069X;1661-4917;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2021;Publishing Model will remain Open Choice in 2023.;;2022-11-25
6;Advances in Applied Clifford Algebras;Birkh�user;Engineering;https://springer.com/6;0188-7009;1661-4909;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
9;Mediterranean Journal of Mathematics;Birkh�user;Mathematics;https://springer.com/9;1660-5446;1660-5454;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
10;Aequationes Mathematicae;Birkh�user;Mathematics;https://springer.com/10;0001-9054;1420-8903;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
11;Inflammation Research;Springer;Biomedicine;https://springer.com/11;1023-3830;1420-908X;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
12;Algebra Universalis;Birkh�user;Mathematics;https://springer.com/12;0002-5240;1420-8911;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
13;Archiv der Mathematik;Birkh�user;Mathematics;https://springer.com/13;0003-889X;1420-8938;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
15;Swiss Journal of Geosciences;Springer;Earth Sciences;https://springer.com/15;1661-8726;1661-8734;Fully Open Access;;1068,12;n/a;yes;CC BY;;Change of Imprint;2021;Imprint remains Springer, updated from Birkh�user back to Springer;;2023-01-05
16;Engineering in Perspective;Birkh�user;Engineering;https://springer.com/16;1422-6944;1422-6960;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
18;Cellular and Molecular Life Sciences;Springer;Life Sciences;https://springer.com/18;1420-682X;1420-9071;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
20;Integral Equations and Operator Theory;Birkh�user;Mathematics;https://springer.com/20;0378-620X;1420-8989;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
21;Journal of Mathematical Fluid Mechanics;Birkh�user;Engineering;https://springer.com/21;1422-6928;1422-6952;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;Standard Hybrid Specific Workflow updated;;2022-01-03
22;Journal of Geometry;Birkh�user;Mathematics;https://springer.com/22;0047-2468;1420-8997;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
23;Annales Henri Poincar�;Birkh�user;Engineering;https://springer.com/23;1424-0637;1424-0661;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
24;Pure and Applied Geophysics;Birkh�user;Earth Sciences;https://springer.com/24;0033-4553;1420-9136;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
25;Results in Mathematics;Birkh�user;Mathematics;https://springer.com/25;1422-6383;1420-9012;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
26;Annals of Combinatorics;Birkh�user;Mathematics;https://springer.com/26;0218-0006;0219-3094;Open Choice;;;;;CC BY;standard (Oasis);Change of Hybrid Specific Workflow;2020;;;2022-01-03
