Status;Revenue Model;Ownership;Society;EUR APC;License Type Offered;General Subject Category
P-Current publication;OO/EEO Flipped;O-Proprietary Owned;Wiley;2100;CC-BY to all;Medicine
P-Current publication;OO/EEO Flipped;J-Joint Owned;Blackwell/Medicalhelplines.com Inc;2148;CC-BY to all;Medicine
Accepting Submissions;OA;N-Society Owned;The Institution of Engineering and Technology;2000;CC-BY to all;Physical Sciences & Engineering
Accepting Submissions;OA;J-Joint Owned;Wiley and Tianjin University;Currently Waived;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;N-Society Owned;The Accounting Foundation, The University of Sydney;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Society for Academic Emergency Medicine;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Accounting and Finance Association of Australia and New Zealand;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OO;N-Society Owned;Canadian Academic Accounting Association;;CC-BY to all;Business, Economics, Finance & Accounting
P-Current publication;OA;N-Society Owned;American College of Rheumatology;2116;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Scandinavian Society of Anaesthesiology and Intensive Care Medicine;;CC-BY mandate only;Medicine
R-To be sold/Transfrd;OO;N-Society Owned;Acta Archaeologica;;CC-BY to all;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;International Union of Crystallography;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;OO;N-Society Owned;Geological Society of China;;CC-BY to all;Earth, Space & Environmental Sciences
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Nordic Federation of Societies of Obstetrics and Gynecology (NFOG);;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Institution Acta Ophthalmologica Scandinavica;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Foundation Acta Paediatrica;;CC-BY mandate only;Medicine
P-Current publication;OO;N-Society Owned;Federation of European Physiological Societies;;CC-BY to all;Medicine
P-Current publication;OO;O-Proprietary Owned;Blackwell;;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Society;;CC-BY to all;Life Sciences
P-Current publication;OA;N-Society Owned;Japanese Association for Acute Medicine;2029;CC-BY to all;Medicine
P-Current publication;OO;N-Society Owned;Society for the Study of Addiction;;CC-BY mandate only;Social & Behavioral Sciences
P-Current publication;OO;N-Society Owned;Society for the Study of Addiction;;CC-BY to all;Life Sciences
P-Current publication;OO;N-Society Owned;American Counseling Association (ACA);;CC-BY to all;Psychology
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY mandate only;Life Sciences
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OA;O-Proprietary Owned;Wiley VCH;2327;CC-BY only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY to all;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley-VCH;;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley;;CC-BY mandate only;Physical Sciences & Engineering
P-Current publication;OO;O-Proprietary Owned;Wiley VCH;;CC-BY mandate only;Physical Sciences & Engineering
