Status;Revenue Model;Ownership;Owned By;EUR APC;License Type Offered;General Subject Category
P-Current publication;HOA;N-Society Owned;The Accounting Foundation, The University of Sydney;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;OA;O-Proprietary Owned;Hindawi;911;TBD;Physical Sciences & Engineering
P-Current publication;HOA;N-Society Owned;Society for Academic Emergency Medicine;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Accounting and Finance Association of Australia and New Zealand;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;HOA;N-Society Owned;Canadian Academic Accounting Association;;CC-BY for all;Business, Economics, Finance & Accounting
P-Current publication;OA;N-Society Owned;American College of Rheumatology;2640;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;Scandinavian Society of Anaesthesiology and Intensive Care Medicine;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;International Union of Crystallographers;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;International Union of Crystallography;;CC-BY only;Earth, Space & Environmental Sciences
P-Current publication;HOA;N-Society Owned;Geological Society of China;;CC-BY for all;Earth, Space & Environmental Sciences
P-Current publication;OA;O-Proprietary Owned;Blackwell/Hindawi;1995;CC-BY for all;Medicine
P-Current publication;OA;N-Society Owned;Nordic Federation of Societies of Obstetrics and Gynecology (NFOG);2400;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;Institution Acta Ophthalmologica Scandinavica;;CC-BY for all;Medicine
P-Current publication;HOA;N-Society Owned;Foundation Acta Paediatrica;;CC-BY by mandate only;Medicine
P-Current publication;HOA;N-Society Owned;Federation of European Physiological Societies;;CC-BY Only;Medicine
